trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
687,False,"{'a': 0.005, 'e': 0.0322254102319168}",20,6,21.710660764243432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.005, 'e': 0.03206468532786077}",20,0,15.243481005167517,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
689,False,"{'a': 0.005, 'e': 0.03190476204260796}",20,0,4.514555484633806,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
690,False,"{'a': 0.005, 'e': 0.03174563637806794}",20,0,17.69541099173678,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
691,False,"{'a': 0.005, 'e': 0.031587304356090785}",25,9,28.149835418412085,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.005, 'e': 0.03142976201836771}",25,14,20.587214748772432,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.005, 'e': 0.03127300542633206}",20,8,23.544091240682402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.005, 'e': 0.03111703066106086}",35,19,28.82529282945911,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.005, 'e': 0.030961833823176882}",25,20,8.851955130966516,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.005, 'e': 0.030807411032751076}",25,12,22.50121019988395,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.005, 'e': 0.030653758429205646}",20,12,12.541764913644052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.005, 'e': 0.030500872171217483}",20,7,24.070215053428775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.005, 'e': 0.030348748436622202}",25,15,22.6242120387677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.005, 'e': 0.0301973834223185}",30,14,28.775472380145633,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.005, 'e': 0.03004677334417314}",20,4,27.104087575282207,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.005, 'e': 0.029896914436926308}",20,14,8.921761754298224,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.005, 'e': 0.029747802954097544}",20,0,20.27472206439286,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
704,False,"{'a': 0.005, 'e': 0.029599435167892}",20,11,12.492090100389627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.005, 'e': 0.02945180736910729}",30,23,12.620832331647692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.005, 'e': 0.029304915867040746}",25,0,38.82322939164826,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
707,False,"{'a': 0.005, 'e': 0.02915875698939719}",30,22,3.1983343632356283,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
708,False,"{'a': 0.005, 'e': 0.029013327082197053}",20,3,27.991888657758338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.005, 'e': 0.028868622509685086}",25,13,24.759902130161638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.005, 'e': 0.028724639654239423}",20,10,15.070763304382952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.005, 'e': 0.028581374916281203}",25,13,20.17200409819412,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.005, 'e': 0.028438824714184505}",25,5,25.77643452743486,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.005, 'e': 0.028296985484186854}",30,20,18.387764456173883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.005, 'e': 0.028155853680300096}",25,20,12.182712873918028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.005, 'e': 0.028015425774221808}",30,21,15.90424690366187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.005, 'e': 0.027875698255247015}",20,12,14.643528318557586,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.005, 'e': 0.027736667630180466}",20,8,20.32807960478822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.005, 'e': 0.027598330423249287}",30,4,44.74107155568214,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.005, 'e': 0.027460683176016094}",25,0,35.48560133348999,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.005, 'e': 0.02732372244729256}",25,8,28.398219295589477,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.005, 'e': 0.027187444813053317}",30,18,21.90479195991984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.005, 'e': 0.027051846866350416}",25,10,24.644743998879516,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.005, 'e': 0.026916925217228112}",25,0,34.711922682308696,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
724,False,"{'a': 0.005, 'e': 0.026782676492638175}",20,5,13.675022596857971,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
725,False,"{'a': 0.005, 'e': 0.026649097336355485}",20,14,10.954781321750525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.005, 'e': 0.02651618440889418}",25,16,18.105611718573876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.005, 'e': 0.02638393438742414}",20,12,1.4625810763526685,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
728,False,"{'a': 0.005, 'e': 0.02625234396568796}",20,2,32.70750976818284,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.005, 'e': 0.026121409853918233}",20,0,26.298652887482636,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
730,False,"{'a': 0.005, 'e': 0.025991128778755347}",20,11,13.354722495662735,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.005, 'e': 0.025861497483165623}",20,16,7.613139606695352,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.005, 'e': 0.02573251272635994}",25,9,15.292841577537958,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.005, 'e': 0.025604171283712656}",30,18,23.346499290735327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.005, 'e': 0.025476469946681016}",35,19,26.05478035226929,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.005, 'e': 0.02534940552272493}",25,0,37.19015727786835,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
736,False,"{'a': 0.005, 'e': 0.025222974835227212}",20,10,17.750879080222127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.005, 'e': 0.025097174723414068}",25,8,-2.789306376327345,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
738,False,"{'a': 0.005, 'e': 0.024972002042276155}",20,16,9.337288550086196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.005, 'e': 0.024847453662489916}",25,13,19.094740042896653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.005, 'e': 0.024723526470339388}",20,0,27.540788160518943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
